name;country;gross;director;budget
Underground;Germany;171082.0; Emir  Kusturica;12500000.0
Underground;Germany;171082.0; Emir  Kusturica;12500000.0
Underground;Germany;171082.0; Emir  Kusturica;12500000.0
Underground;Hungary;171082.0; Emir  Kusturica;12500000.0
Underground;Hungary;171082.0; Emir  Kusturica;12500000.0
Underground;Hungary;171082.0; Emir  Kusturica;12500000.0
Underground;Hungary;171082.0; Emir  Kusturica;12500000.0
Underground;Hungary;171082.0; Emir  Kusturica;12500000.0
Underground;Hungary;171082.0; Emir  Kusturica;12500000.0
Underground;Hungary;171082.0; Emir  Kusturica;12500000.0
Underground;Yugoslavia;171082.0; Emir  Kusturica;12500000.0
Underground;Yugoslavia;171082.0; Emir  Kusturica;12500000.0
Underground;Yugoslavia;171082.0; Emir  Kusturica;12500000.0
Underground;Yugoslavia;171082.0; Emir  Kusturica;12500000.0
Underground;Yugoslavia;171082.0; Emir  Kusturica;12500000.0
Underground;Yugoslavia;171082.0; Emir  Kusturica;12500000.0
Underground;Yugoslavia;171082.0; Emir  Kusturica;12500000.0
Underworld;United States;;Roger Christian (filmmaker);
Unforgiven;United States;159200000.0; Clint  Eastwood;14400000.0
Unhook the Stars;France;272542.0; Nick  Cassavetes;
Unhook the Stars;United States;272542.0; Nick  Cassavetes;
Unstrung Heroes;United States;7929434.0; Diane  Keaton;
Until the End of the World;Australia;752856.0; Wim  Wenders;23000000.0
Until the End of the World;Australia;752856.0; Wim  Wenders;23000000.0
Until the End of the World;Australia;752856.0; Wim  Wenders;23000000.0
Until the End of the World;Australia;752856.0; Wim  Wenders;23000000.0
Until the End of the World;Australia;752856.0; Wim  Wenders;23000000.0
Until the End of the World;France;752856.0; Wim  Wenders;23000000.0
Until the End of the World;France;752856.0; Wim  Wenders;23000000.0
Until the End of the World;France;752856.0; Wim  Wenders;23000000.0
Until the End of the World;France;752856.0; Wim  Wenders;23000000.0
Until the End of the World;France;752856.0; Wim  Wenders;23000000.0
Until the End of the World;Germany;752856.0; Wim  Wenders;23000000.0
Until the End of the World;Germany;752856.0; Wim  Wenders;23000000.0
Until the End of the World;Germany;752856.0; Wim  Wenders;23000000.0
Until the End of the World;Germany;752856.0; Wim  Wenders;23000000.0
Until the End of the World;Germany;752856.0; Wim  Wenders;23000000.0
Until the End of the World;United States;752856.0; Wim  Wenders;23000000.0
Until the End of the World;United States;752856.0; Wim  Wenders;23000000.0
Until the End of the World;United States;752856.0; Wim  Wenders;23000000.0
Until the End of the World;United States;752856.0; Wim  Wenders;23000000.0
Until the End of the World;United States;752856.0; Wim  Wenders;23000000.0
Unzipped;United States;2875086.0; Douglas  Keeve;
Up in Smoke;United States;104000000.0; Lou  Adler;2000000.0
Vampire in Venice;Italy;;Klaus Kinski;
Vampire in Venice;Italy;;Augusto Caminito;
Vegas Vacation;United States;36400000.0;Stephen Kessler;25000000.0
Venice/Venice;United States;;Henry Jaglom;
Vermont is for Lovers;United States;;John O'Brien (filmmaker);
Vertigo;United States;7300000.0; Alfred  Hitchcock;2500000.0
Village of the Damned;United States;;John Carpenter;
Virtuosity;United States;24100000.0; Brett  Leonard;30000000.0
Volcano;United States;122800000.0; Mick  Jackson  (director);90000000.0
Wag the Dog;United States;64300000.0; Barry  Levinson;15000000.0
Waiting for Guffman;United States;2900000.0; Christopher  Guest;4000000.0
Waiting to Exhale;United States;82000000.0; Forest  Whitaker;16000000.0
Walking and Talking;France;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;France;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;France;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;France;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;Germany;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;Germany;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;Germany;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;Germany;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;United Kingdom;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;United Kingdom;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;United Kingdom;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;United Kingdom;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;United States;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;United States;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;United States;1600000.0; Nicole  Holofcener;1000000.0
Walking and Talking;United States;1600000.0; Nicole  Holofcener;1000000.0
Warriors of Virtue;Canada;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;Canada;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;Canada;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;Canada;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;China;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;China;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;China;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;China;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;Hong Kong;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;Hong Kong;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;Hong Kong;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;Hong Kong;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;United States;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;United States;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;United States;6524620.0; Ronny  Yu;35000000.0
Warriors of Virtue;United States;6524620.0; Ronny  Yu;35000000.0
Washington Square;United States;1900000.0; Agnieszka  Holland;15000000.0
Waterworld;United States;264200000.0; Kevin  Reynolds  (director);172.0
Wedding Bell Blues;United States;44052.0;Dana Lustig;
Weekend at Bernie's;United States;30200000.0; Ted  Kotcheff;15000000.0
Welcome to Sarajevo;United Kingdom;334319.0; Michael  Winterbottom;9000000.0
Welcome to Sarajevo;United Kingdom;334319.0; Michael  Winterbottom;9000000.0
Welcome to Sarajevo;United States;334319.0; Michael  Winterbottom;9000000.0
Welcome to Sarajevo;United States;334319.0; Michael  Winterbottom;9000000.0
Welcome to the Dollhouse;United States;5000000.0; Todd  Solondz;800000.0
Wend Kuuni;Burkina Faso;;Gaston Kaboré;
